trajectory_id,initial_soc,initial_polarization_v,split
level1r_terminal_041,0.7574892857142858,0.0328125,terminal_test
level1r_terminal_042,0.7579107142857143,0.08281250000000001,train
level1r_terminal_043,0.7583321428571429,0.0203125,validation
level1r_terminal_044,0.7587535714285715,0.0703125,validation
level1r_terminal_045,0.759175,0.045312500000000006,train
level1r_terminal_046,0.7595964285714286,0.09531250000000001,validation
level1r_terminal_047,0.7600178571428572,0.004687500000000001,train
level1r_terminal_048,0.7604392857142858,0.0546875,train
level1r_terminal_049,0.7608607142857143,0.029687500000000002,train
level1r_terminal_050,0.7612821428571429,0.07968750000000001,terminal_test
level1r_terminal_051,0.7617035714285715,0.0171875,train
level1r_terminal_052,0.762125,0.0671875,train
level1r_terminal_053,0.7625464285714286,0.0421875,terminal_test
level1r_terminal_054,0.7629678571428572,0.0921875,train
level1r_terminal_055,0.7633892857142858,0.010937500000000001,validation
level1r_terminal_056,0.7638107142857143,0.060937500000000006,train
level1r_terminal_057,0.7642321428571429,0.035937500000000004,terminal_test
level1r_terminal_058,0.7646535714285715,0.0859375,train
level1r_terminal_059,0.7650750000000001,0.0234375,train
level1r_terminal_060,0.7654964285714286,0.0734375,train
level1r_terminal_061,0.7659178571428572,0.0484375,train
level1r_terminal_062,0.7663392857142858,0.09843750000000001,train
level1r_terminal_063,0.7667607142857144,0.00078125,train
level1r_terminal_064,0.7671821428571429,0.05078125,train
level1r_terminal_065,0.7676035714285715,0.025781250000000002,train
level1r_terminal_066,0.768025,0.07578125000000001,train
level1r_terminal_067,0.7684464285714286,0.013281250000000001,terminal_test
level1r_terminal_068,0.7688678571428571,0.06328125,train
level1r_terminal_069,0.7692892857142857,0.03828125,train
level1r_terminal_070,0.7697107142857142,0.08828125,train
level1r_terminal_071,0.7701321428571428,0.00703125,terminal_test
level1r_terminal_072,0.7705535714285714,0.057031250000000006,terminal_test
level1r_terminal_073,0.770975,0.032031250000000004,train
level1r_terminal_074,0.7713964285714285,0.08203125,terminal_test
level1r_terminal_075,0.7718178571428571,0.01953125,train
level1r_terminal_076,0.7722392857142857,0.06953125,validation
level1r_terminal_077,0.7726607142857143,0.04453125,train
level1r_terminal_078,0.7730821428571428,0.09453125000000001,validation
level1r_terminal_079,0.7735035714285714,0.00390625,train
level1r_terminal_080,0.773925,0.05390625,train
level1r_terminal_081,0.7743464285714285,0.02890625,train
level1r_terminal_082,0.7747678571428571,0.07890625000000001,train
level1r_terminal_083,0.7751892857142857,0.01640625,train
level1r_terminal_084,0.7756107142857143,0.06640625,train
level1r_terminal_085,0.7760321428571428,0.041406250000000006,train
level1r_terminal_086,0.7764535714285714,0.09140625000000001,train
level1r_terminal_087,0.776875,0.01015625,train
level1r_terminal_088,0.7772964285714286,0.06015625,train
level1r_terminal_089,0.7777178571428571,0.03515625,train
level1r_terminal_090,0.7781392857142857,0.08515625,train
level1r_terminal_091,0.7785607142857143,0.022656250000000003,train
level1r_terminal_092,0.7789821428571428,0.07265625,validation
level1r_terminal_093,0.7794035714285714,0.047656250000000004,train
level1r_terminal_094,0.779825,0.09765625,train
level1r_terminal_095,0.7802464285714286,0.0023437500000000003,train
level1r_terminal_096,0.7806678571428571,0.05234375,train
level1r_terminal_097,0.7810892857142857,0.02734375,train
level1r_terminal_098,0.7815107142857143,0.07734375,terminal_test
level1r_terminal_099,0.7819321428571429,0.014843750000000001,train
level1r_terminal_100,0.7823535714285714,0.06484375,validation
level1r_terminal_101,0.782775,0.039843750000000004,validation
level1r_terminal_102,0.7831964285714286,0.08984375,train
level1r_terminal_103,0.7836178571428571,0.00859375,terminal_test
level1r_terminal_104,0.7840392857142857,0.05859375,train
level1r_terminal_105,0.7844607142857143,0.03359375,train
level1r_terminal_106,0.7848821428571429,0.08359375000000001,train
level1r_terminal_107,0.7853035714285714,0.02109375,train
level1r_terminal_108,0.785725,0.07109375,terminal_test
level1r_terminal_109,0.7861464285714286,0.04609375,terminal_test
level1r_terminal_110,0.7865678571428572,0.09609375,train
level1r_terminal_111,0.7869892857142857,0.0054687500000000005,validation
level1r_terminal_112,0.7874107142857143,0.055468750000000004,train
level1r_terminal_113,0.7878321428571429,0.030468750000000003,train
level1r_terminal_114,0.7882535714285714,0.08046875,train
level1r_terminal_115,0.788675,0.017968750000000002,terminal_test
level1r_terminal_116,0.7890964285714286,0.06796875000000001,validation
level1r_terminal_117,0.7895178571428572,0.04296875,train
level1r_terminal_118,0.7899392857142857,0.09296875,train
level1r_terminal_119,0.7903607142857143,0.01171875,train
level1r_terminal_120,0.7907821428571429,0.06171875,train
level1r_terminal_121,0.7912035714285715,0.03671875,train
level1r_terminal_122,0.791625,0.08671875000000001,train
level1r_terminal_123,0.7920464285714286,0.02421875,train
level1r_terminal_124,0.7924678571428572,0.07421875,train
level1r_terminal_125,0.7928892857142857,0.049218750000000006,validation
level1r_terminal_126,0.7933107142857143,0.09921875000000001,train
level1r_terminal_127,0.7937321428571429,0.000390625,validation
level1r_terminal_128,0.7941535714285715,0.050390625,validation
level1r_terminal_129,0.794575,0.025390625,train
level1r_terminal_130,0.7949964285714286,0.075390625,validation
level1r_terminal_131,0.7954178571428572,0.012890625000000001,train
level1r_terminal_132,0.7958392857142857,0.062890625,train
level1r_terminal_133,0.7962607142857143,0.037890625000000004,terminal_test
level1r_terminal_134,0.7966821428571429,0.087890625,train
level1r_terminal_135,0.7971035714285715,0.006640625000000001,train
level1r_terminal_136,0.797525,0.056640625,train
level1r_terminal_137,0.7979464285714286,0.031640625,train
level1r_terminal_138,0.7983678571428572,0.08164062500000001,validation
level1r_terminal_139,0.7987892857142858,0.019140625,train
